input_size,output_size,build_time_s,proof_time_s,proof_mem_b,proof_size_b,verify_time_s
1000,1000,7.50572175,6.031163208,1801503094,330020,0.011508541
1000,2000,15.527305083,12.312240333,3593642086,346009,0.011984708
1000,3000,16.387061333,12.440821333,3733261046,351447,0.012235041
1000,4000,31.872802291,24.514282875,7177852142,367978,0.012312291
1000,5000,32.675694166,25.03898175,7317470870,375560,0.012553541
1000,6000,33.829696958,25.209167833,7457107886,383434,0.014477875
1000,7000,65.246958791,49.568211833,14206441118,394553,0.014247166
1000,8000,65.33007,49.529789,14346264934,406683,0.017517041
