input_size,output_size,build_time_s,proof_time_s,proof_mem_b,proof_size_b,verify_time_s
1000,1000,5.358164208,3.181778208,1801562598,331494,0.011682458
1000,2000,10.874708916,6.361148916,3593671630,344501,0.012603416
1000,3000,12.037485375,6.551483708,3733278342,355545,0.011660083
1000,4000,23.760127583,12.778664083,7177867902,366408,0.012791291
1000,5000,23.108785208,12.822978833,7317487486,373721,0.014326916
1000,6000,24.74808825,13.121492,7457130390,380183,0.012629041
1000,7000,46.571482666,25.447173666,14206452974,395513,0.015288625
1000,8000,47.059825291,24.96393025,14346258454,403528,0.013044333
1000,9000,47.040223541,25.63276525,14485903750,414587,0.013193208
