input_size,output_size,build_time_s,proof_time_s,proof_mem_b,proof_size_b,verify_time_s
1000,1000,11.084049875,10.926671541,1801495062,325534,0.011594333
1000,2000,22.683877583,22.291423791,3593638742,346233,0.012286708
1000,3000,23.73383825,22.259742958,3733289902,346129,0.012627916
1000,4000,46.65652025,44.9896975,7177836598,365544,0.014230708
1000,5000,47.964268333,45.136199875,7317473926,374425,0.012360833
1000,6000,48.609459458,45.206658083,7457103550,383225,0.014190041
1000,7000,95.506268916,89.91471275,14206422894,397644,0.016078583
1000,8000,95.685750208,90.263322208,14346267102,403562,0.013382791
1000,9000,97.965371666,91.337133375,14485857974,414186,0.014892291
1000,10000,99.525465791,91.860800666,14625484143,420665,0.01510725
